,ICS - ST-ALEXIS PLANT,Forecast1,Saint-Alexis,,,,Month Remainder,,,,,,,,,,,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    ,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	1,200  "," 	4,600  ", 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    ,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,remplacé par 300000468,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73406002,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000468,RECYCL. LAMINATED BAG FELIPURE UN 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	1,400  ", 	-    , 	-    , 	-    ," 	1,200  "," 	1,200  ", 	-    , 	-    ," 	1,200  ", 	800  , 	-    , 	-    
MAGALIE SENECAL-J.,2915,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,2916,0,Supply,,,," 	14,400  ", 	-    , 	-    , 	-    ," 	14,400  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,"Total open po: 28800,",PO number,,,,,,,," 	4,500,015,918  ",,,,,,,
,,,Next Sched Date,,,,1/31/26,-,-,-,1/31/26,-,-,-,-,-,-,-
,,,Month end stock,,,,"13,316"," 	13,316  "," 	13,316  "," 	13,316  "," 	26,516  "," 	25,316  "," 	25,316  "," 	25,316  "," 	24,116  "," 	23,316  "," 	23,316  "," 	23,316  "
,,,Safety Stock,0,,,Notes,,,,MEDUP1813272,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000401,BAG FELIPURE MC UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73406000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000402,BAG FELIPURE UN 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	1,200  "," 	1,400  ", 	-    ,,,,,,,,,,,,
Lead Time: 0d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73406001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"1,014",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000403,RECY LAMINATED BAG FELIPURE UN CAR 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "
MAGALIE SENECAL-J.,2915,400,Actuals/PO Scenario, 	-    ," 	1,014  "," 	1,014  ",,,,,,,,,,,,
Lead Time: 2d,2916,31900,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"31,526"," 	30,526  "," 	29,526  "," 	28,526  "," 	27,526  "," 	26,526  "," 	25,526  "," 	24,526  "," 	23,526  "," 	22,526  "," 	21,526  "," 	20,526  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73412000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000404,BAG FELIPURE UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	1,428  ", 	-    ," 	1,428  ", 	-    ," 	1,428  "," 	1,428  ", 	-    ," 	1,428  ", 	-    ," 	1,428  ", 	-    ," 	1,428  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 0d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"-1,106"," 	(1,106) "," 	(2,534) "," 	(2,534) "," 	(3,962) "," 	(5,390) "," 	(5,390) "," 	(6,818) "," 	(6,818) "," 	(8,246) "," 	(8,246) "," 	(9,674) "
,,,Safety Stock,0,,,Notes,attente retour jennifer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73412001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"1,428",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000405,RECY LAMINATED BAG FELIPURE UN CAR 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "," 	1,000  "
MAGALIE SENECAL-J.,2915,710,Actuals/PO Scenario," 	2,016  "," 	4,452  "," 	1,428  ",,,,,,,,,,,,
Lead Time: 2d,2916,9300,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"9,236"," 	8,236  "," 	7,236  "," 	6,236  "," 	5,236  "," 	4,236  "," 	3,236  "," 	2,236  "," 	1,236  ", 	236  , 	(764) ," 	(1,764) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73506000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000406,BAG FELIPURE CHBL 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	1,200  "," 	2,400  "," 	2,400  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé 300000464,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73506001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"2,077",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000464,RECYCL. LAMINATED BAG FELIPURE CHBL 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	1,300  "," 	1,300  "," 	1,300  ", 	-    ," 	1,000  "," 	1,000  "," 	1,000  ", 	-    , 	-    ," 	1,000  "," 	1,000  ", 	-    
MAGALIE SENECAL-J.,2915,16400,Actuals/PO Scenario, 	-    , 	-    , 	-    , 	(825) ," 	(1,300) "," 	(1,300) "," 	(1,300) ", 	-    ," 	(1,000) "," 	(1,000) "," 	(1,000) ", 	-    , 	-    ," 	(1,000) "," 	(1,000) "
Lead Time: 2d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"14,569"," 	11,969  "," 	9,369  "," 	8,069  "," 	7,069  "," 	5,069  "," 	3,069  "," 	2,069  "," 	2,069  "," 	1,069  ", 	(931) ," 	(1,931) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,remplace 300000406,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
73512000,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000407,BAG FELIPURE CHBL 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75131410,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,149,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000410,BAG PETZEBA KYLI BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"8,320",Demand, 	-    , 	-    , 	-    , 	-    ," 	1,656  ", 	-    ," 	1,656  ", 	-    , 	-    ," 	1,656  ", 	-    , 	-    ," 	1,656  ", 	-    ," 	1,656  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"7,320"," 	5,664  "," 	5,664  "," 	4,008  "," 	4,008  "," 	4,008  "," 	2,352  "," 	2,352  "," 	2,352  ", 	696  , 	696  , 	(960) 
,,,Safety Stock,1000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
80110000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"5,054",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000425,BAG AGRIFARMA NEXT CAT LE 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "," 	4,500  "
MAGALIE SENECAL-J.,2912,26350,Actuals/PO Scenario, 	-    , 	-    ," 	2,520  ",,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"22,866"," 	18,366  "," 	13,866  "," 	9,366  "," 	4,866  ", 	366  ," 	(4,134) "," 	(8,634) "," 	(13,134) "," 	(17,634) "," 	(22,134) "," 	(26,634) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
80210000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"10,175",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000426,BAG AGRIFARMA NEXT CAT UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	17,000  "," 	17,000  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "," 	13,500  "
MAGALIE SENECAL-J.,2912,13600,Actuals/PO Scenario," 	15,120  "," 	15,120  "," 	15,120  ",,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    ," 	60,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 60000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,12/31/25
,,,Month end stock,,,,439," 	43,439  "," 	29,939  "," 	16,439  "," 	2,939  "," 	(10,561) "," 	(24,061) "," 	(37,561) "," 	(51,061) "," 	(64,561) "," 	(78,061) "," 	(91,561) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
80310000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"7,793",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000427,BAG AGRIFARMA NEXT CAT LA 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	15,000  "," 	15,000  "," 	15,000  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "," 	13,200  "
MAGALIE SENECAL-J.,2912,21625,Actuals/PO Scenario," 	15,120  "," 	17,640  "," 	15,120  ",,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    ," 	60,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 60000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,12/31/25
,,,Month end stock,,,,"10,012"," 	55,012  "," 	40,012  "," 	26,812  "," 	13,612  ", 	412  ," 	(12,788) "," 	(25,988) "," 	(39,188) "," 	(52,388) "," 	(65,588) "," 	(78,788) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
81010000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"5,127",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000428,BAG AGRIFARMA NEXT CAT BP 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    ," 	10,300  "," 	10,300  "," 	10,300  "," 	10,300  "," 	10,300  ", 	840  , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2912,17850,Actuals/PO Scenario," 	20,160  "," 	2,520  "," 	5,040  ",,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,12/31/25
,,,Month end stock,,,,"9,876", 	(424) ," 	(10,724) "," 	(21,024) "," 	(31,324) "," 	(32,164) "," 	(32,164) "," 	(32,164) "," 	(32,164) "," 	(32,164) "," 	(32,164) "," 	(32,164) "
,,,Safety Stock,0,,,Notes,attente retour Jennifer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
81012000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,84,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000429,BAG ANISERCO TOM&CO BP 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
85210000,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,210,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000438,BAG CROCI SUPREME UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
85410000,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000439,BAG CROCI SUPREME EU 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
86208000,-,-,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000440,BAG PET LOVERS TRUSTIE UN 8.1KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"6,906",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"6,406"," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "," 	6,406  "
,,,Safety Stock,500,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
88112001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"5,003",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000460,BAG MATINA TIGERINO PI 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
